fips	total	salaries	benefits	instruction	instruction_salaries	instruction_benefits	support	pupil_support	staff_support	general_admin	school_admin
25003	15407	8975	3911	9409	6071	2760	5520	1081	976	241	765
25005	12986	7681	3101	8006	5365	2216	4534	1054	658	183	535
25007	24818	15564	6087	15787	10678	4358	8352	1638	1347	171	1513
25009	13584	8132	3308	8447	5727	2362	4675	1061	757	155	593
25011	15303	8839	3544	9003	5902	2514	5779	1127	878	319	765
25013	14114	8305	3053	8342	5725	2188	5240	1075	885	196	665
25015	13964	8524	3122	8384	5742	2231	5230	1137	723	269	698
25017	14657	8896	3472	9022	6129	2472	5234	1172	914	195	629
25019	20889	13643	4952	12798	8695	3526	7714	1838	1027	600	1099
25021	13723	8575	3100	8523	5916	2221	4829	1110	790	186	587
25023	12349	7596	2779	7649	5304	2000	4390	951	668	172	569
25025	18416	10699	4243	10553	7115	2984	7059	1142	1902	287	728
25027	12894	7908	2846	8142	5667	2072	4330	865	559	165	601
26001	10504	5186	3391	6746	3865	2471	3408	247	115	387	585
26003	10440	5220	3276	6258	3498	2264	3715	251	202	507	518
26005	8638	4610	2477	5360	3245	1753	2877	424	236	199	508
26007	9215	5100	2751	5564	3512	1800	3125	434	217	82	643
26009	9483	4656	2878	5877	3385	2077	3121	263	180	323	616
26011	9131	4777	2621	5494	3378	1778	3043	182	180	282	505
26013	10293	5062	3173	6499	3737	2218	3322	394	159	441	539
26015	8440	4619	2495	5496	3367	1818	2584	218	246	157	482
26017	8180	4603	2414	5140	3214	1645	2681	310	250	107	531
26019	9028	4670	2589	5543	3357	1857	2832	95	82	216	640
26021	9477	4756	2629	5662	3339	1862	3363	461	417	210	546
26023	8617	4508	2450	5383	3214	1696	2784	276	149	194	593
26025	10043	5139	2801	6183	3670	1989	3403	382	417	176	601
26027	8513	4388	2529	4959	2885	1689	3082	326	376	223	548
26029	10246	5294	3012	6664	3894	2185	3158	365	246	360	563
26031	9511	5038	2939	6274	3742	2119	2783	91	101	238	670
26033	9409	4828	2938	5792	3403	2025	3155	362	256	259	589
26035	8722	4422	2396	5872	3516	1910	2342	159	146	197	473
26037	8167	4551	2390	5309	3325	1724	2511	210	189	183	504
26039	9334	5023	2818	5927	3584	1955	2942	476	234	126	592
26041	8276	4417	2640	5085	3062	1788	2791	415	170	190	508
26043	8542	4445	2479	5634	3379	1837	2564	307	76	226	471
26045	8667	4891	2453	5578	3529	1800	2728	290	327	165	482
26047	10092	4956	2868	6719	3876	2237	2998	289	210	334	535
26049	9688	5196	2726	5798	3564	1849	3455	614	479	160	533
26051	8638	4530	2554	5463	3284	1833	2713	426	260	191	524
26053	10140	5380	3324	6365	3801	2313	3279	230	187	553	502
26055	8801	4808	2603	5270	3223	1758	3013	305	388	73	555
26057	8604	4567	2561	5488	3281	1845	2721	316	227	245	534
26059	8519	4391	2530	5505	3212	1878	2526	187	177	194	466
26061	8359	4040	2541	5446	3066	1931	2400	188	95	304	517
26063	8577	4479	2451	5429	3257	1774	2688	185	170	412	512
26065	10107	5558	2965	6015	3724	1968	3682	754	489	113	549
26067	8544	4430	2401	5405	3265	1777	2732	335	190	174	563
26069	8728	4424	2557	5384	3093	1754	2820	276	169	266	578
26071	9247	4460	3001	5810	3168	2061	2997	248	149	320	498
26073	9118	4792	2779	5750	3411	1888	3012	507	393	136	563
26075	9135	4845	2637	5909	3589	1922	2796	334	233	190	559
26077	9645	5182	2641	5687	3465	1762	3539	606	535	140	589
26079	9217	4514	2758	5581	3267	2025	3136	231	139	362	695
26081	9725	5251	2892	6124	3738	2032	3203	455	458	127	549
26083	29500	12667	7333	17833	10333	5000	11667	0	0	2833	0
26085	12621	5641	3390	7110	4143	2438	4788	221	482	651	617
26087	8438	4570	2535	5373	3266	1823	2671	418	222	143	554
26089	12237	6516	3724	7425	4431	2599	4416	392	443	567	510
26091	8862	4678	2514	5795	3524	1874	2632	294	203	228	529
26093	8041	4384	2257	5393	3385	1729	2351	293	182	113	487
26095	10086	5405	3290	6417	3819	2343	3169	289	243	346	501
26097	10428	5063	3062	6617	3651	2245	3299	248	207	630	460
26099	9617	5507	2797	6049	3803	1896	3238	727	321	95	563
26101	8742	4437	2464	5411	3155	1745	2870	258	45	270	548
26103	9043	4788	2831	5762	3401	2052	2916	473	210	213	450
26105	8938	4730	2498	6005	3546	1878	2547	220	138	169	532
26107	8850	4693	2721	5783	3471	1961	2562	177	124	191	535
26109	8660	4459	2691	5676	3361	2050	2541	179	73	344	493
26111	9250	5383	2595	5998	3860	1859	2948	488	426	128	563
26113	8655	4570	2606	5253	3249	1727	2903	286	168	254	638
26115	9117	4913	2737	5481	3353	1838	3245	467	303	155	532
26117	8391	4470	2468	5160	3146	1713	2800	441	256	182	503
26119	10311	4384	2902	6094	3052	1931	3633	177	97	453	542
26121	9426	4942	2868	5731	3411	1979	3270	717	388	160	486
26123	9033	4928	2625	6003	3694	1982	2605	287	131	218	520
26125	10962	5864	3173	6718	4067	2178	3926	865	493	124	590
26127	9393	4899	2741	6005	3479	1987	2916	273	275	249	556
26129	9794	5168	3027	5832	3538	1910	3354	570	322	163	455
26131	10103	4862	3157	6106	3509	2139	3440	251	208	351	497
26133	9291	4875	2844	5995	3658	2068	2796	211	144	224	622
26135	9572	5040	3067	6316	3806	2276	2744	179	98	485	421
26137	9139	4685	2828	5928	3441	2099	2674	260	157	225	583
26139	9431	5288	2863	6130	3798	2036	2960	543	317	133	510
26141	9309	4562	3048	5843	3291	2160	2997	221	141	384	476
26143	9475	4832	2692	5885	3599	1933	3072	366	171	206	596
26145	9529	4964	2688	6026	3570	1939	3029	456	379	158	590
26147	9046	5009	2645	5873	3671	1914	2846	410	341	109	575
26149	8591	4506	2359	5319	3241	1718	2778	256	245	209	496
26151	8864	4564	2707	5557	3252	1897	2789	276	155	320	520
26153	9407	4746	2816	5449	3179	1848	3523	322	287	221	550
26155	8495	4638	2467	5579	3397	1812	2519	234	273	184	539
26157	8676	4605	2537	5596	3398	1858	2620	237	135	265	533
26159	9127	4740	2609	5560	3351	1852	3069	265	257	437	542
26161	11023	6220	3213	6533	4081	2109	4154	1319	434	133	591
26163	11297	6049	3002	6706	4122	2028	4204	851	632	122	575
26165	8895	4689	2792	5578	3332	1911	2843	271	215	236	563
27001	9412	6208	1701	5852	4146	1173	3037	314	209	235	368
27003	9881	6433	2057	6597	4628	1490	2844	361	478	172	350
27005	9703	6145	1622	6222	4500	1190	3001	341	277	381	391
27007	12306	7594	2671	7998	5284	1881	3737	236	354	223	464
27009	8199	5346	1528	5257	3770	1075	2482	322	363	131	302
27011	11438	7382	1584	7478	5304	1137	3297	321	290	355	353
27013	9282	6108	1804	6277	4506	1343	2565	254	459	124	367
27015	9687	5450	1936	6347	4059	1454	2890	201	389	200	392
27017	9361	6065	1770	6338	4344	1302	2633	199	261	315	426
27019	9120	6008	1612	5821	4166	1118	2822	271	434	167	372
27021	11503	6794	1663	7419	4846	1174	3507	335	304	381	496
27023	10174	6567	1590	6544	4896	1160	3086	212	288	218	578
27025	8734	5426	1775	5475	3739	1164	2806	211	454	163	409
27027	9034	5853	1526	6109	4386	1232	2484	222	310	176	336
27029	10371	5871	1443	6470	4003	1052	3351	102	325	323	515
27031	11054	7417	2099	7303	5144	1441	3329	239	335	445	366
27033	10824	6766	1725	6968	4826	1236	3260	201	242	450	487
27035	9843	6033	2006	6670	4529	1482	2664	191	386	137	362
27037	9948	6542	2220	6760	4744	1572	2752	286	435	222	437
27039	8112	5219	1447	5251	3718	1064	2373	252	266	173	373
27041	9190	6192	1547	6320	4549	1118	2351	182	278	177	357
27043	9991	6565	2131	6583	4650	1296	2870	188	263	503	426
27045	9826	6316	1462	6330	4471	1034	2884	97	175	246	447
27047	10907	6595	2371	7493	4989	1776	2915	216	351	137	504
27049	8945	5424	1703	5769	3862	1215	2715	216	316	199	364
27051	10036	6229	1484	5929	4343	985	3564	219	276	290	601
27053	11516	7911	2513	7722	5411	1717	3332	338	612	301	434
27055	8966	4614	1378	6435	3306	986	2208	211	306	163	425
27057	10236	6125	2077	6662	4364	1424	3012	111	270	365	360
27059	8102	5257	1720	5203	3495	1194	2492	192	413	133	441
27061	10159	6050	2158	6588	4391	1572	3094	233	345	287	443
27063	9670	5988	1410	6246	4416	993	2897	132	169	405	483
27065	8631	5671	1513	5890	4163	1085	2303	170	257	193	350
27067	9908	6181	1986	6460	4527	1416	2812	256	351	225	355
27069	13128	7987	2068	8268	5443	1480	4276	164	211	874	568
27071	11064	6485	2259	6933	4337	1520	3622	388	320	271	463
27073	10994	7320	1801	7076	5042	1286	3295	227	391	272	468
27075	9936	6579	2180	6638	4604	1457	2943	188	327	341	459
27077	11726	7359	2353	6897	4748	1500	4173	171	383	794	429
27079	8756	5249	1609	5622	3748	1160	2693	156	253	228	364
27081	13737	6234	1746	7183	4289	1259	5873	226	163	489	666
27083	10161	6207	1609	6414	4618	1164	3166	319	284	218	434
27085	9490	5523	1839	6093	4145	1396	2909	217	377	213	420
27087	12565	6562	2212	7722	4801	1552	4231	152	871	469	403
27089	11992	7403	2181	7273	4987	1522	4108	249	295	497	587
27091	9473	5171	1474	5910	3703	1010	3011	115	314	214	343
27093	9253	5904	1331	5860	4292	975	2909	150	260	172	463
27095	9050	5704	1611	5957	4156	1153	2652	223	407	148	339
27097	9043	5834	1561	5768	4201	1088	2829	163	420	279	386
27099	10456	6602	2103	7026	4846	1519	2911	352	272	259	444
27101	10736	6273	1931	7185	4867	1492	3009	146	123	269	446
27103	9780	5682	1867	6619	4098	1383	2720	245	372	181	420
27105	10325	6651	1684	6795	4989	1259	2926	265	516	208	367
27107	11161	6896	1968	6843	4841	1340	3687	159	208	414	469
27109	9001	5745	1889	5812	4093	1337	2756	261	330	174	480
27111	9210	5490	1476	5983	3985	1131	2718	228	245	185	422
27113	9562	6637	1732	6090	4503	1206	2987	185	319	213	631
27115	10045	6462	1913	6781	4774	1418	2768	166	257	277	446
27117	10697	6101	1387	6549	4683	966	3456	162	311	262	406
27119	9818	6186	1793	6344	4476	1239	2943	139	175	338	495
27121	12469	7533	1726	8679	6266	1456	3114	198	128	190	399
27123	12385	7992	2875	8342	5651	2031	3472	407	638	251	498
27125	11443	7375	1911	6944	4957	1301	3919	35	166	618	743
27127	10033	6116	1420	6159	4503	1027	3321	365	222	364	405
27129	10009	6327	1596	6214	4464	1109	3268	385	266	296	472
27131	9947	6180	2186	6684	4536	1646	2793	276	381	195	398
27133	8946	6119	1474	5906	4344	963	2577	218	270	317	384
27135	9905	6464	1631	6252	4457	1096	3196	196	390	294	402
27137	10804	6476	2623	7309	4575	1853	3107	186	360	237	441
27139	8446	5429	1750	5634	3905	1316	2383	223	449	132	380
27141	9091	5808	2012	5990	4148	1452	2668	316	486	159	384
27143	9803	5886	1926	6242	4209	1401	3014	268	413	186	459
27145	9477	6225	1887	6247	4449	1368	2735	212	530	180	410
27147	9352	5599	1991	6073	4140	1478	2771	244	411	206	411
27149	9237	6032	1298	6005	4378	907	2776	155	165	332	421
27151	9889	6274	1465	6484	4605	1060	2860	299	226	351	393
27153	10943	6604	1902	6816	4632	1352	3488	207	346	341	487
27155	11214	6917	1714	7105	5137	1268	3544	139	209	328	496
27157	8918	5351	1517	5884	4026	1129	2560	244	291	195	406
27159	9706	6147	1500	5911	4204	1036	3163	136	242	872	344
27161	9201	5651	1851	6250	4166	1364	2494	193	291	175	348
27163	9368	6043	2221	6095	4174	1521	2838	365	359	199	406
27165	10147	6294	1770	6239	4378	1206	3371	323	322	251	587
27167	9728	6414	1303	6131	4488	848	3009	171	142	434	419
27169	10624	6761	2057	6859	4796	1411	3276	444	331	207	429
27171	8859	5647	1865	5887	4057	1351	2551	204	427	126	336
27173	10341	5930	1263	6572	3986	856	3228	195	263	312	509
28001	9909	5721	1837	5410	3578	1133	3855	477	576	369	591
28003	7660	4627	1437	4943	3303	1002	2309	232	345	157	466
28005	9872	5598	1824	5585	3667	1138	3671	502	553	411	414
28007	7379	4380	1436	4321	2965	944	2526	314	277	232	393
28009	8867	4835	1570	4803	3047	986	3469	270	320	369	558
28011	9609	5239	1686	4897	3222	1020	4040	440	669	485	542
28013	7213	4334	1424	4109	2852	907	2496	363	257	317	402
28015	8419	5140	1643	4696	3217	1030	3103	395	399	298	488
28017	8256	4748	1528	4734	3208	1015	2903	419	465	389	411
28019	9551	5709	1769	5580	3860	1172	3431	341	388	329	605
28021	9649	5846	1850	5443	3701	1119	3439	324	628	248	471
28023	7949	4546	1459	4437	3014	930	2969	199	262	378	501
28025	8256	4479	1456	4174	2834	917	3487	393	385	373	481
28027	9132	5308	1723	4521	3019	945	3886	343	1340	327	550
28029	8168	4577	1434	4303	2853	875	3185	329	857	393	384
28031	8044	4842	1560	4621	3112	984	2834	372	263	291	546
28033	6249	3716	1118	3629	2492	737	2211	381	177	160	347
28035	8957	5349	1658	5012	3427	1046	3278	418	491	323	496
28037	8898	5595	1726	5301	3606	1105	3039	475	155	467	586
28039	6728	4171	1318	4090	2909	883	2168	294	309	203	366
28041	9184	4872	1555	4947	3332	1024	3675	270	269	238	475
28043	7132	4460	1465	4148	2915	905	2561	387	316	173	402
28045	8516	4559	1391	4525	3104	928	3527	440	324	218	459
28047	8334	4989	1540	4732	3255	983	3129	519	297	174	482
28049	8480	5001	1665	4685	3175	993	3209	343	548	203	507
28051	8903	5261	1684	4436	3191	989	3698	476	1073	321	406
28053	8469	5327	1511	4298	3448	850	3408	438	886	278	365
