Player	Rank	Position	Team	Fantasy Team	Score_Q	FG%_Q	FT%_Q	3PM_Q	PTS_Q	REB_Q	AST_Q	ST_Q	BLK_Q	TO_Q	FG%	FT%	3PM	PTS	REB	AST	ST	BLK	TO
Manu Ginobili	82	SG	SA	#N/A	0.240172879	0.183245316	0.739188186	0.314223132	-0.335563075	-0.78244611	0.644690774	0.139234	-0.446806017	-0.215593328	0.469	0.851	1.3	12.3	3	4.3	1	0.3	2
Corey Brewer	83	SF	MIN	#N/A	0.168057535	0.415691806	-0.574441274	-0.439912385	-0.335563075	-0.934046228	-0.630953071	2.227743992	-0.251267279	0.690805049	0.481	0.718	0.7	12.3	2.6	1.7	1.9	0.4	1.3
Danny Green	84	SG	SA	Derp Squad	0.116844503	-0.533464694	0.176204132	1.06835865	-1.049764498	-0.630845992	-0.729079521	0.139234	0.726426412	0.949776014	0.432	0.794	1.9	9.1	3.4	1.5	1	0.9	1.1
Wesley Johnson	85	SF	LAL	#N/A	0.082390838	-0.649687939	0.156450306	0.314223132	-1.049764498	-0.251845696	-0.680016296	0.371290665	0.921965151	0.949776014	0.426	0.792	1.3	9.1	4.4	1.6	1.1	1	1.1
Joe Johnson	86	SG	BKN	Spurtability	0.075429514	-0.107312796	0.38361931	1.319737156	0.445594732	-0.630845992	-0.140320823	-0.788992664	-0.837883493	0.431834084	0.454	0.815	2.1	15.8	3.4	2.7	0.6	0.1	1.5
Anderson Varejao	87	C	CLE	Derp Squad	0.053354897	0.686879377	-0.939887063	-1.319737156	-1.20599606	1.756855869	-0.385636947	0.371290665	0.139810198	0.949776014	0.495	0.681	0	8.4	9.7	2.2	1.1	0.6	1.1
Mike Dunleavy	88	SF	CHI	#N/A	0.044980205	-0.572205776	0.768818926	0.565601638	-0.55875102	-0.327645755	-0.336573722	-0.324879332	0.139810198	0.690805049	0.43	0.854	1.5	11.3	4.2	2.3	0.8	0.6	1.3
Greg Monroe	89	PF	DET	Derp Squad	0.006695401	0.725620459	-1.176932981	-1.319737156	0.311681965	1.605255751	-0.434700172	0.371290665	0.139810198	-0.215593328	0.497	0.657	0	15.2	9.3	2.1	1.1	0.6	2
Jeff Teague	90	PG	ATL	Derp Squad	-0.078000232	-0.417241449	0.68980362	-0.188533879	0.601826293	-0.934046228	1.822208171	0.371290665	-0.642344755	-1.38096267	0.438	0.846	0.9	16.5	2.6	6.7	1.1	0.2	2.9
Brandon Jennings	91	PG	DET	Jason's Neat Team	-0.083072828	-1.676326602	-0.248503137	1.06835865	0.378638348	-0.74454608	2.263777194	0.835403997	-0.837883493	-1.121991705	0.373	0.751	1.9	15.5	3.1	7.6	1.3	0.1	2.7
Brandon Knight	92	PG	MIL	#N/A	-0.141552427	-0.727170102	0.255219438	0.565601638	0.914289416	-0.592945962	0.939070123	0.139234	-0.642344755	-0.992506223	0.422	0.802	1.5	17.9	3.5	4.9	1	0.2	2.6
Reggie Jackson	93	PG	OKC	Justin's Neat Team	-0.150792329	-0.378500368	1.154018542	-0.062844626	-0.157012719	-0.441345844	0.546564325	0.371290665	-0.837883493	-0.345078811	0.44	0.893	1	13.1	3.9	4.1	1.1	0.1	2.1
Nick Young	94	SF	LAL	#N/A	-0.189510476	-0.475353072	0.482388442	1.319737156	0.914289416	-0.934046228	-0.729079521	-0.556935998	-0.642344755	0.431834084	0.435	0.825	2.1	17.9	2.6	1.5	0.7	0.2	1.5
Josh Smith	95	SF	DET	Sligonian	-0.214967158	-0.785281725	-2.411547135	-0.188533879	0.579507499	0.657755013	0.154058526	1.067460663	1.704120103	-0.992506223	0.419	0.532	0.9	16.4	6.8	3.3	1.4	1.4	2.6
Jameer Nelson	96	PG	ORL	#N/A	-0.21499457	-1.269545245	0.798449666	1.194047903	-0.380200664	-0.630845992	1.969397845	-0.324879332	-0.837883493	-0.733535258	0.394	0.857	2	12.1	3.4	7	0.8	0.1	2.4
George Hill	97	PG	IND	Derp Squad	-0.255113527	-0.339759286	0.304604004	0.314223132	-0.781938965	-0.517145903	0.252184976	0.139234	-0.446806017	0.820290531	0.442	0.807	1.3	10.3	3.7	3.5	1	0.3	1.2
Andre Iguodala	98	SG	GS	Spurtability	-0.285425962	0.396321265	-1.226317547	-0.062844626	-1.005126909	-0.138145608	0.59562755	1.299517329	-0.446806017	0.302348601	0.48	0.652	1	9.3	4.7	4.2	1.5	0.3	1.6
Patty Mills	99	PG	SA	#N/A	-0.306463787	0.086392612	1.124387802	0.816980144	-0.804257759	-1.123546376	-0.581889847	-0.324879332	-0.837883493	1.338232461	0.464	0.89	1.7	10.2	2.1	1.8	0.8	0.1	0.8
Darren Collison	100	PG	LAC	#N/A	-0.307681371	0.144504234	0.798449666	-0.188533879	-0.536432225	-1.009846287	0.350311425	0.603347331	-0.642344755	0.172863119	0.467	0.857	0.9	11.4	2.4	3.7	1.2	0.2	1.7
Arron Afflalo	101	SG	ORL	Sligonian	-0.324914657	-0.010460092	0.38361931	0.942669397	0.981245799	-0.555045933	0.203121751	-1.02104933	-1.033422231	-0.215593328	0.459	0.815	1.8	18.2	3.6	3.4	0.5	0	2
Tobias Harris	102	SF	ORL	Jason's Neat Team	-0.333574204	0.086392612	0.304604004	-0.691290891	0.177769198	0.733555072	-0.827205971	-0.556935998	-0.251267279	0.690805049	0.464	0.807	0.5	14.6	7	1.3	0.7	0.4	1.3
Khris Middleton	103	PF	MIL	#N/A	-0.340364792	-0.378500368	0.837957319	0.565601638	-0.380200664	-0.479245873	-0.434700172	0.139234	-0.642344755	0.431834084	0.44	0.861	1.5	12.1	3.8	2.1	1	0.2	1.5
Amir Johnson	104	PF	TOR	#N/A	-0.386140189	1.984705612	-1.384348159	-0.942669397	-0.75962017	0.581954953	-0.729079521	-0.556935998	1.117503889	0.302348601	0.562	0.636	0.3	10.4	6.6	1.5	0.7	1.1	1.6
Eric Gordon	105	SG	NO	#N/A	-0.485124109	-0.455982531	0.087311913	0.691290891	0.356319554	-0.934046228	0.154058526	0.603347331	-0.642344755	-0.345078811	0.436	0.785	1.6	15.4	2.6	3.3	1.2	0.2	2.1
J.R. Smith	106	SG	NY	FOOSHBAGS	-0.489819173	-0.862763888	-1.226317547	1.948183421	0.155450404	-0.403445814	0.006868851	-0.092822666	-0.446806017	0.431834084	0.415	0.652	2.6	14.5	4	3	0.9	0.3	1.5
P.J. Tucker	107	SF	PHX	#N/A	-0.501195988	-0.552835235	-0.001580306	-0.188533879	-0.982808115	0.544054924	-0.630953071	1.067460663	-0.446806017	0.690805049	0.431	0.776	0.9	9.4	6.5	1.7	1.4	0.3	1.3
