Player	2016 Fantasy Points	Score_Q	FG%_Q	FT%_Q	3PM_Q	PTS_Q	REB_Q	AST_Q	ST_Q	BLK_Q	TO_Q	FG%	FT%	3PM	PTS	REB	AST	ST	BLK	TO
Gary Harris	12.3	-0.379	0.285	0.486	0.355	-0.3	-0.853	-0.49	0.793	-0.655	0.599	46.9	82	1.4	12.3	2.9	1.9	1.3	0.2	1.3
Kevin Love	16	2.705	-0.696	0.505	1.207	0.502	1.893	-0.245	-0.356	-0.105	-0.047	41.9	82.2	2.1	16	9.9	2.4	0.8	0.5	1.8
Gordon Hayward	19.7	2.706	-0.421	0.524	0.842	1.304	-0.029	0.394	0.564	-0.472	-0.95	43.3	82.4	1.8	19.7	5	3.7	1.2	0.3	2.5
Kobe Bryant	17.6	-0.784	-1.893	0.543	1.085	0.849	-0.539	-0.048	-0.126	-0.655	-0.305	35.8	82.6	2	17.6	3.7	2.8	0.9	0.2	2
Evan Turner	10.5	-0.912	0.03	0.552	-1.106	-0.69	-0.068	0.738	0.104	-0.472	-0.434	45.6	82.7	0.2	10.5	4.9	4.4	1	0.3	2.1
Gorgui Dieng	10.1	1.79	1.522	0.552	-1.228	-0.776	0.795	-0.588	0.334	1.179	0.082	53.2	82.7	0.1	10.1	7.1	1.7	1.1	1.2	1.7
Carmelo Anthony	21.8	3.843	-0.402	0.571	0.476	1.76	1.03	0.639	-0.126	-0.105	-0.821	43.4	82.9	1.5	21.8	7.7	4.2	0.9	0.5	2.4
Marc Gasol	16.6	2.706	0.187	0.571	-1.349	0.632	0.755	0.443	0.104	1.363	-0.692	46.4	82.9	0	16.6	7	3.8	1	1.3	2.3
Rodney Stuckey	8.9	-4.865	-0.814	0.571	-0.984	-1.036	-0.932	-0.245	-0.586	-0.839	0.599	41.3	82.9	0.3	8.9	2.7	2.4	0.7	0.1	1.3
Victor Oladipo	16	3.427	-0.323	0.581	0.355	0.502	-0.108	0.492	1.483	0.445	-0.434	43.8	83	1.4	16	4.8	3.9	1.6	0.8	2.1
Tobias Harris	14.7	1.151	0.285	0.591	-0.01	0.221	0.638	-0.343	-0.126	-0.105	0.47	46.9	83.1	1.1	14.7	6.7	2.2	0.9	0.5	1.4
Joe Johnson	12.2	-1.021	-0.303	0.591	0.476	-0.321	-0.578	0.492	-0.356	-1.022	-0.305	43.9	83.1	1.5	12.2	3.6	3.9	0.8	0	2
Jimmy Butler	20.9	4.607	-0.009	0.6	-0.132	1.564	0.089	0.934	1.483	0.078	-0.305	45.4	83.2	1	20.9	5.3	4.8	1.6	0.6	2
Mario Chalmers	10.3	-1.542	-0.873	0.6	-0.376	-0.733	-0.971	0.443	1.023	-0.655	-0.047	41	83.2	0.8	10.3	2.6	3.8	1.4	0.2	1.8
Marvin Williams	11.7	1.105	-0.048	0.61	0.963	-0.43	0.52	-0.736	-0.586	0.812	1.244	45.2	83.3	1.9	11.7	6.4	1.4	0.7	1	0.8
Bojan Bogdanovic	11.2	-3.385	-0.421	0.61	0.598	-0.538	-0.735	-0.785	-1.275	-0.839	0.341	43.3	83.3	1.6	11.2	3.2	1.3	0.4	0.1	1.5
Isaiah Canaan	11	-3.243	-1.854	0.61	1.45	-0.581	-1.088	-0.539	-0.586	-0.655	0.728	36	83.3	2.3	11	2.3	1.8	0.7	0.2	1.2
Marco Belinelli	10.2	-5.137	-1.344	0.61	0.233	-0.755	-1.324	-0.49	-1.045	-1.022	0.728	38.6	83.3	1.3	10.2	1.7	1.9	0.5	0	1.2
