geoid	pop	white	black	amerind	asian	hawaiian	other	two	hispanic	povrate	income	noed	high	associates	bachelors	masters	prof	phd
110010108002	2395	1674	188	10	382	0	58	83	188	0.510115607	7743	0	0.077844311	0.053892216	0.401197605	0.326347305	0.128742515	0.011976048
110010108003	2439	1739	391	0	187	0	28	94	110	0.448763251	8645	0	0.117948718	0	0.307692308	0.461538462	0	0.112820513
110010109001	1995	15	1961	0	0	0	0	19	0	0.537366548	13933	0.167981962	0.703494927	0.030439684	0.051860203	0.010146561	0.027057497	0.009019166
110010109002	1954	62	1880	0	0	0	12	0	23	0.696012429	9082	0.205619413	0.633461047	0.058748404	0.072796935	0.029374202	0	0
110010110001	530	228	271	0	0	0	0	31	0	0	42076	0	0.173913043	0	0.530434783	0.22826087	0.067391304	0
110010110002	703	558	126	0	15	0	4	0	53	0.136894825	96533	0	0.074204947	0.021201413	0.197879859	0.351590106	0.16254417	0.192579505
110010110003	676	466	112	0	79	0	0	19	41	0	84409	0.020602219	0.096671949	0	0.380348653	0.448494453	0.009508716	0.04437401
110010110004	1472	710	583	0	59	0	48	72	163	0.036005435	59120	0.01510574	0.29305136	0.015861027	0.18429003	0.316465257	0.142749245	0.032477341
110010111001	1490	298	1038	0	0	0	138	16	190	0.082376772	29421	0.139935414	0.47255113	0.116254037	0.20452099	0.057050592	0	0.009687836
110010111002	1794	94	1639	0	0	0	45	16	123	0.124230554	32086	0.160740741	0.498518519	0.043703704	0.225185185	0.059259259	0.005925926	0.006666667
